6,"{'custom_label': 'B073PWH52Y', 'no_of_times_sold': -1, 'product_name': b'Tactical Pen Self Defense Tool with Self Defense Keychain (SDK) | Aircraft Alumi', 'date_of_listing': '2017-11-19', 'price': '14.14', 'ebay_id': '263333418346', 'seller_id': 23, 'quantity': '1', 'photo': 'http://thumbs.ebaystatic.com/pict/2633334183466464_1.jpg'}"
7,"{'custom_label': 'B01MFI1SUQ', 'no_of_times_sold': -1, 'product_name': b'Tactical Pen Self Defense Pen Survival EDC Kit Emergency Tool Multi Use of LED F', 'date_of_listing': '2017-11-19', 'price': '18.65', 'ebay_id': '263333418506', 'seller_id': 23, 'quantity': '0', 'photo': 'http://thumbs.ebaystatic.com/pict/2633334185066464_1.jpg'}"
8,"{'custom_label': 'B06XZB42CY', 'no_of_times_sold': -1, 'product_name': b'Tactical Self-Defense Pen with Window & Glass Breaking Tungsten-Carbide Pointed', 'date_of_listing': '2017-11-19', 'price': '12.74', 'ebay_id': '263333418884', 'seller_id': 23, 'quantity': '0', 'photo': 'http://thumbs.ebaystatic.com/pict/2633334188846464_1.jpg'}"
9,"{'custom_label': 'B01EFJ75OU', 'no_of_times_sold': -1, 'product_name': b'Partstock Compact Heavy Duty Premium Stainless Tungsten Steel Defender Defensive', 'date_of_listing': '2017-11-19', 'price': '20.46', 'ebay_id': '263333419158', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633334191586464_1.jpg'}"
10,"{'custom_label': 'B06XRV44K6', 'no_of_times_sold': -1, 'product_name': b'Ballpoint Black Refills for Tactical Pen and More [Pack of 6] With Spare Spring', 'date_of_listing': '2017-11-19', 'price': '10.45', 'ebay_id': '263333419423', 'seller_id': 23, 'quantity': '1', 'photo': 'http://thumbs.ebaystatic.com/pict/2633334194236464_1.jpg'}"
1,"{'custom_label': 'B06Y13HYJ5', 'no_of_times_sold': -1, 'product_name': b'Tactical Pen - Self Defense Pen - Black Ballpoint Pen - Emergency Glass Breaker', 'date_of_listing': '2017-11-19', 'price': '11.7', 'ebay_id': '263333419570', 'seller_id': 23, 'quantity': '1', 'photo': 'http://thumbs.ebaystatic.com/pict/2633334195706464_1.jpg'}"
2,"{'custom_label': 'B01NCVZRTH', 'no_of_times_sold': -1, 'product_name': b'Tactical Pen, Accmor Aircraft Imprompt Tactical Pen with LED Light, High-Strengt', 'date_of_listing': '2017-11-19', 'price': '16.71', 'ebay_id': '263333419876', 'seller_id': 23, 'quantity': '0', 'photo': 'http://thumbs.ebaystatic.com/pict/2633334198766464_1.jpg'}"
3,"{'custom_label': 'B01BJPL27O', 'no_of_times_sold': -1, 'product_name': b'Valtev Tactical Pen Black, First Line in Self Defense, Quality Aircraft Aluminiu', 'date_of_listing': '2017-11-19', 'price': '16.66', 'ebay_id': '263333420246', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633334202466464_1.jpg'}"
4,"{'custom_label': 'B01N1Z2SU2', 'no_of_times_sold': -1, 'product_name': b'Fortis Arma Tactical Pen - Black Multipurpose Pocket Tool - Built-In LED Light -', 'date_of_listing': '2017-11-19', 'price': '22.53', 'ebay_id': '263333420456', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633334204566464_1.jpg'}"
5,"{'custom_label': 'B00SGHLOLS', 'no_of_times_sold': -1, 'product_name': b'Ozbourn Tactical Pen Defensive Tool, Window Glass Breaker Sturdy Nylon Pouch wit', 'date_of_listing': '2017-11-19', 'price': '12.34', 'ebay_id': '263333420888', 'seller_id': 23, 'quantity': '0', 'photo': 'http://thumbs.ebaystatic.com/pict/2633334208886464_1.jpg'}"
6,"{'custom_label': 'B01N1PZGNF', 'no_of_times_sold': -1, 'product_name': b'J5 Tactical Pen - 4 in 1 - Black Ball Point, Emergency Glass Breaker, DNA Collec', 'date_of_listing': '2017-11-19', 'price': '19.16', 'ebay_id': '263333421457', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633334214576464_1.jpg'}"
7,"{'custom_label': 'B01N0KVD4C', 'no_of_times_sold': -1, 'product_name': b'VIOFO A11CPL Circular Polarizing Lens (CPL) clips onto 2017 Edition A119 A119S &', 'date_of_listing': '2018-01-19', 'price': '19.16', 'ebay_id': '263445983533', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2634459835336464_1.jpg'}"
8,"{'custom_label': 'B073DKQL1S', 'no_of_times_sold': -1, 'product_name': b'Pyle Wireless Backup Camera & Monitor Kit For Car, Universal Waterproof License', 'date_of_listing': '2018-01-19', 'price': '75.49', 'ebay_id': '263445984366', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2634459843666464_1.jpg'}"
9,"{'custom_label': 'B01LXC2329', 'no_of_times_sold': -1, 'product_name': b'Rexing Hard Wire Kit Mini-USB Port', 'date_of_listing': '2018-01-19', 'price': '12.95', 'ebay_id': '263445985753', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2634459857536464_1.jpg'}"
10,"{'custom_label': 'B01M1KJ0GB', 'no_of_times_sold': -1, 'product_name': b'AccessoryBasics Car Rearview Mirror Radar Detector Mount for Escort PASSPORT 950', 'date_of_listing': '2018-01-19', 'price': '19.16', 'ebay_id': '263445987294', 'seller_id': 23, 'quantity': '11', 'photo': 'http://thumbs.ebaystatic.com/pict/2634459872946464_1.jpg'}"
